X1,X2,X3,X4,TPC (mg GAE/g DW),CGA (mg/g DE)
5,5,45,55,17.66,6.5024
15,5,45,55,17.22,8.449433333
5,15,45,55,18.1,2.8740125
15,15,45,55,18.04,2.781175
10,10,30,45,15.6,4.503558333
10,10,60,45,17.76,6.096666667
10,10,30,65,16.51,6.213304167
10,10,60,65,18.46,3.393933333
5,10,45,45,19.76,4.797791667
15,10,45,45,19.76,6.588275
5,10,45,65,22.71,4.133829167
15,10,45,65,21.55,6.2338125
10,5,30,55,11.91,6.121308333
10,15,30,55,12.81,4.2351
10,5,60,55,13.81,7.6522
10,15,60,55,12.42,3.819729167
5,10,30,55,12.94,5.320854167
15,10,30,55,12.83,6.1049625
5,10,60,55,14.05,3.355854167
15,10,60,55,16.49,3.839516667
10,5,45,45,17.76,6.789895833
10,15,45,45,18.58,2.608116667
10,5,45,65,19.73,8.477083333
10,15,45,65,18.85,1.803129167
10,10,45,55,19.45,4.022716667
10,10,45,55,21.25,7.275825
10,10,45,55,19.3,5.098716667
10,10,45,55,19.33,4.539754167
10,10,45,55,19.75,4.3033125
